categoria;descricao;titulo;valor_varejo;valor_atacado;valor_varejo_promocional;estoque_geral;estoque_maletas;peso;valor_custo;data_registro;cor_banho;imagem;tamanho_anel;cod_barras;genero;cor_pedra;variacao;tempo_garantia;fornecedor;codigo_fornecedor;preco_aluguel;loc_estoque;destaque;novos
Colar;;COLAR COM PINGENTE DE BAILARINA;68.4;68.4;;1;0;10.9;50.63;22/07/2025 20:02;RodioBranco;https://natika.semijoias.net/assets/photos/natika-231-6882d69394e28.jpg;0;20941741;;;;12;TANK BRUTOS;BF11-761 CV.45;0;;;
Pulseira;;PULSEIRA MINI PEROLAS;62.7;0;;1;0;0;19;22/07/2025 19:25;Ouro;https://natika.semijoias.net/assets/photos/natika-223-6884f9a957c86.jpeg;0;20492311;;Perolado;;12;GAZIN;128288;0;;;
Brinco;;BRINCO ARCOLA RETANGULAR;77.7;77.7;;1;0;4.6;26.5;21/07/2025 21:31;RodioBranco;https://natika.semijoias.net/assets/photos/natika-160-6884f97c54237.jpeg;0;20004309;;;;12;TANK BRUTOS;BF12-850;0;;;
Brinco;;BRINCO ARCOLA RETANGULAR;77.7;77.7;;2;0;4.6;15.91;21/07/2025 21:32;Ouro;https://natika.semijoias.net/assets/photos/natika-161-6884f96d93502.jpeg;0;20253295;;;;12;TANK BRUTOS;BF12-850;0;;;
Brinco;;TRIO PONTO DE LUZ;44.7;44.7;;0;0;2.1;12.44;21/07/2025 20:49;RodioBranco;https://natika.semijoias.net/assets/photos/natika-139-6884f95031fa1.jpeg;0;20888954;;Cristal;;12;SOPHIA BRUTOS;2-439;0;;;
Pingente;LETRA T;PINGENTE LETRA CRAVEJADA ;35.7;0;;0;0;0.5;6.69;22/07/2025 20:48;Ouro;https://natika.semijoias.net/assets/photos/natika-250-6884f51506478.jpeg;0;20689926;;;;12;TANK BRUTOS;;0;;;
Pingente;LETRA A;PINGENTE LETRA CRAVEJADA ;35.7;0;;1;0;0.5;6.69;22/07/2025 20:49;Ouro;https://natika.semijoias.net/assets/photos/natika-251-6884f507c009f.jpeg;0;20299019;;;;12;TANK BRUTOS;;0;;;
Pingente;LETRA Y;PINGENTE LETRA CRAVEJADA ;35.7;0;;1;0;0.5;6.69;22/07/2025 20:49;Ouro;https://natika.semijoias.net/assets/photos/natika-252-6884f4fb9f119.jpeg;0;20897246;;;;12;TANK BRUTOS;;0;;;
Pingente;LETRA R;PINGENTE LETRA CRAVEJADA ;35.7;0;;1;0;0.5;6.69;22/07/2025 20:49;Ouro;https://natika.semijoias.net/assets/photos/natika-253-6884f4f0cb3b7.jpeg;0;20024727;;;;12;TANK BRUTOS;;0;;;
Pingente;LETRA H;PINGENTE LETRA CRAVEJADA ;35.7;0;;1;0;0.5;6.69;22/07/2025 20:49;Ouro;https://natika.semijoias.net/assets/photos/natika-254-6884f4e48d3b0.jpeg;0;20231835;;;;12;TANK BRUTOS;;0;;;
Pingente;LETRA V;PINGENTE LETRA CRAVEJADA ;35.7;0;;1;0;0.5;6.69;22/07/2025 20:50;Ouro;https://natika.semijoias.net/assets/photos/natika-255-6884f4da96d96.jpeg;0;20964702;;;;12;TANK BRUTOS;;0;;;
